CisloOtazky,ZneniOtazky,CisloMoznosti,ZneniMoznosti,ZakonProMoznost
4,"Skupina občanů veřejně prezentuje svůj názor, že určité etnické a sexuální menšiny podrývají pořádek a dobrou morálku na ostrově. Tato skupina otevřeně usiluje o omezení některých práv členů menšin.",2,Necháte občany hlasovat o schválení návrhu na omezení práv menšin a rozhodnete se podle výsledku hlasování.,O OMEZOVÁNÍ PRÁV PŘÍSLUŠNÍKŮ MENŠIN SE ROZHODUJE VE VŠEOBECNÉM HLASOVÁNÍ.
4,"Skupina občanů veřejně prezentuje svůj názor, že určité etnické a sexuální menšiny podrývají pořádek a dobrou morálku na ostrově. Tato skupina otevřeně usiluje o omezení některých práv členů menšin.",3,Zakážete činnost této skupiny a budete trestat veřejné prosazování podobných nenávistných a diskriminačních opatření.,PROSAZOVÁNÍ OMEZOVÁNÍ PRÁV PŘÍSLUŠNÍKŮ MENŠIN JE ZAKÁZÁNO A TRESTÁNO.
5,Několik rodin se chce odstěhovat za prací do jiné části ostrova mimo hlavní město. Tak velká vzdálenost by zkomplikovala a prodražila dohled veřejné správy nad jejich činností.,1,Zakážete lidem z hlavního města volně se stěhovat po ostrově,JE ZAKÁZÁNO STĚHOVAT SE Z HLAVNÍHO MĚSTA
5,Několik rodin se chce odstěhovat za prací do jiné části ostrova mimo hlavní město. Tak velká vzdálenost by zkomplikovala a prodražila dohled veřejné správy nad jejich činností.,2,Umožníte volné stěhování obyvatel.,JE ZARUČNA SVOBODA POHYBU A MOŽNOST STĚHOVÁNÍ.
5,Několik rodin se chce odstěhovat za prací do jiné části ostrova mimo hlavní město. Tak velká vzdálenost by zkomplikovala a prodražila dohled veřejné správy nad jejich činností.,3,Povolení ke stěhování bude podmíněno zaplacením vysokého poplatku a bude záviset na rozhodnutí odpovědného úřadu.,STĚHOVÁNÍ OBYVATEL ZÁVISÍ NA ROZHODNUTÍ ÚŘADŮ A JE PODMÍNĚNO UHRAZENÍM SPRÁVNÍHO POPLATKU.
6,"Rozhodujete o volebním právu občanů Ostrovní země pro příští volby do Rady ostrova. V současné Radě ostrova je vznesen názor, že efektivní rozvoj země je možný jen tehdy, budou-li Radu volit kvalitní voliči.",1,"Poskytnete volební právo všem dospělým lidem, každý hlas bude mít stejnou váhu.",JE UZÁKONĚNO VŠEOBECNÉ A ROVNÉ HLASOVACÍ PRÁVO.
6,"Rozhodujete o volebním právu občanů Ostrovní země pro příští volby do Rady ostrova. V současné Radě ostrova je vznesen názor, že efektivní rozvoj země je možný jen tehdy, budou-li Radu volit kvalitní voliči.",2,Volební právo dostanou všichni dospělí pracující muži.,PRÁVO VOLIT MAJÍ POUZE DOSPĚLÍ PRACUJÍCÍ MUŽI.
6,"Rozhodujete o volebním právu občanů Ostrovní země pro příští volby do Rady ostrova. V současné Radě ostrova je vznesen názor, že efektivní rozvoj země je možný jen tehdy, budou-li Radu volit kvalitní voliči.",3,"Právo volit bude udělovat současná Rada ostrova na základě vlastního rozhodnutí lidem, kteří o to požádají",O PŘIDĚLENÍ VOLEBNÍHO PRÁVA JEDNOTLIVÝCM OBČANŮM ROZHODUJE STÁVAJÍCÍ RADA OSTROVA.
7,"Určité skupiny obyvatel (staří lidé, děti bez rodičů, nemocní, bezdomovci) trpí hladem a špatnými životními podmínkami. Asi dvacet z nich již následkem toho zemřelo.",1,Za cenu poměrně velkých výdajů z daní zajistíte těmto ohroženým skupinám základní životní potřeby a budete usilovat o zlepšení jejich situace.,"SPOLEČNOST SE STARÁ O POKRYTÍ ZÁKLADNÍCH ŽIVOTNÍCH POTŘEB STARÝCH LIDÍ, SIROTKŮ, NEMOCNÝCH A LIDÍ BEZ DOMOVA."
7,"Určité skupiny obyvatel (staří lidé, děti bez rodičů, nemocní, bezdomovci) trpí hladem a špatnými životními podmínkami. Asi dvacet z nich již následkem toho zemřelo.",2,Nepodniknete v této záležitosti nic.,"LIDÉ, KTEŘÍ NEMAJÍ DOSTATEK PROSTŘEDKŮ NA POKRYTÍ ZÁKLADNÍCH ŽIVOTNÍCH POTŘEB NEDOSTÁVAJÍ OD ÚŘADŮ ŽÁDNOU POMOC."
7,"Určité skupiny obyvatel (staří lidé, děti bez rodičů, nemocní, bezdomovci) trpí hladem a špatnými životními podmínkami. Asi dvacet z nich již následkem toho zemřelo.",3,"Donutíte členy těchto skupin (děti, staré lidi), schopné fyzické práce, aby vydělávali na pokrytí svých životních potřeb, zatímco ostatním zajistíte základní pomoc.",STAŘÍ LIDÉ A DĚTI JSOU NUCENI PRACOVAT A ÚŘADY POSKYUJÍ POMOC POUZE LIDEM FYZICKY NESCHOPNÝM PRÁCE.
